R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
탐라 뚝배기,제주특별자치도 서귀포시 표선면 표선리 879,제주특별자치도 서귀포시 표선면 표선백사로 127,33.32677,126.83669,0,2569,0,0,11
토담골,제주특별자치도 제주시 아라이동 2425,제주특별자치도 제주시 간월동로 5,33.4859043,126.5434964,0,1452,0,0,4
우유부단,제주특별자치도 제주시 한림읍 금악리 142-2,제주특별자치도 제주시 한림읍 금악동길 38,33.34764,126.32826,5,19738,10,38,225
명당양과,제주시 원노형로 83,제주시 원노형로 83,33.481274,126.48501,5,10153,20,9,59
땅꼬분식 뷔페,제주특별자치도 제주시 조천읍 조천리 686-2,제주특별자치도 제주시 조천읍 조천18길 50-9,33.537205,126.645424,3,3850,0,1,14
좀녀마을뚝배기,제주특별자치도 제주시 연동 303-45,제주특별자치도 제주시 은남길 25,33.48737,126.495964,0,3866,0,0,35
하와이새우트럭,제주특별자치도 제주시 노형동 3792-5,제주특별자치도 제주시 노형13길 16,33.482337,126.478375,5,2476,0,1,28
길벗식당,제주특별자치도 제주시 노형동 1020-2,제주특별자치도 제주시 월광로 162,33.4925136,126.4750372,0,1408,0,0,5
다래향,제주특별자치도 제주시 조천읍 함덕리 3132-1,제주특별자치도 제주시 조천읍 조함해안로 428-4,33.5457967,126.6607519,4,3651,0,2,12
돌하르방식당,제주특별자치도 제주시 한림읍 협재리 2487,제주특별자치도 제주시 한림읍 한림로 300,33.3879944,126.2397837,5,4841,0,1,25
킨포크,제주특별자치도 제주시 노형동 3803-17,제주특별자치도 제주시 노형3길 8,33.483097,126.477234,0,1476,0,0,1
키스더티라미수,제주특별자치도 제주시 애월읍 고내리 473,제주특별자치도 제주시 애월읍 애월해안로 274,33.46854,126.34041,0,539,0,0,0
함덕밀면,제주특별자치도 제주시 조천읍 함덕리 960,제주특별자치도 제주시 조천읍 신북로 566,33.5402349,126.6700387,0,2835,1,0,18
골막식당,제주특별자치도 제주시 이도이동 362-1,제주특별자치도 제주시 천수로 12,33.5024655,126.5384668,5,4769,2,2,44
늘봄흑돼지,제주특별자치도 제주시 노형동 2343-3,제주특별자치도 제주시 한라대학로 12,33.4792895,126.4728779,5,6785,3,4,48
치저스,제주특별자치도 제주시 구좌읍 송당리 1581-1,제주특별자치도 제주시 구좌읍 비자림로 1785,33.4684316,126.7740314,5,4263,0,6,43
강정해녀의집,제주특별자치도 서귀포시 강정동 4964,제주특별자치도 서귀포시 말질로 290,33.227562,126.474815,0,3447,0,0,14
한림로342쩜빵,제주특별자치도 제주시 한림읍 협재리 1750-3,제주특별자치도 제주시 한림읍 한림로 342,33.39386,126.240944,4,131,0,2,0
마중물삼계탕,제주특별자치도 제주시 서사로 62-3,제주특별자치도 제주시 서사로 62-3,33.506916,126.51998,0,1713,0,0,0
머루황토불갈비,제주특별자치도 제주시 오일장중길 41,제주특별자치도 제주시 오일장중길 41,33.49619,126.47261,0,713,0,0,3
물금,제주특별자치도 제주시 임항로 49,,33.515636,126.53186,0,1009,0,0,5
쉬림프봉봉&올레파머스,제주특별자치도 제주시 구좌읍 월정리 523-1,제주특별자치도 제주시 구좌읍 월정7길 57,33.55525,126.79582,5,2686,0,4,5
대관원,제주특별자치도 제주시 연동 312-54,제주특별자치도 제주시 신대로13길 3,33.487804,126.49748,0,2853,1,0,5
돌하르방 뚝배기,제주특별자치도 서귀포시 성산읍 성산리 141,제주특별자치도 서귀포시 성산읍 일출로 264,33.4611919,126.9339076,4,3371,2,1,25
웅스키친,제주특별자치도 제주시 이호2동 116-3,제주특별자치도 제주시 대동길 17-1,33.4930736,126.4637705,5,4707,0,9,33
바다위에코끼리,제주특별자치도 제주시 한림읍 협재리 1695,제주특별자치도 제주시 한림읍 협재1길 27-6,33.499622,126.53119,5,4005,1,2,15
돌토고리족욕카페,제주특별자치도 서귀포시 표선면 표선리 40-32,제주특별자치도 서귀포시 표선면 표선당포로 16-4,33.32556,126.84445,0,3792,0,0,3
라스또르따스,"제주특별자치도 제주시 애월읍 고내리 473 ,1층","제주특별자치도 제주시 애월읍 애월해안로 274 , 1층",33.46854,126.34041,0,2090,1,0,7
라쁠라주,제주특별자치도 제주시 용담삼동 2289,제주특별자치도 제주시 서해안로 518,33.5198301,126.4944679,0,443,0,0,1
채원일식,제주특별자치도 제주시 이도2동 314-6,제주특별자치도 제주시 가령골2길 4,33.504257,126.537544,5,1926,0,2,0
민봉태중화요리,제주특별자치도 제주시 연삼로 776 (화북이동),제주특별자치도 제주시 연삼로 776 (화북이동),33.51155,126.56878,0,2206,0,0,7
저팔계깡통연탄구이,제주특별자치도 제주시 조천읍 함덕리 1271,제주특별자치도 제주시 조천읍 신북로 531,33.5417,126.666756,5,1345,0,1,12
살랑살랑샤브샤브,제주특별자치도 제주시 용담3동 1026-9,제주특별자치도 제주시 서해안로 612,33.488773,126.49531,5,1417,0,1,7
세자매식당,제주특별자치도 서귀포시 신서귀로 11 민우상가 102호(법환동),제주특별자치도 서귀포시 신서귀로 11 민우상가 102호(법환동),33.25098,126.510124,0,2238,1,0,17
신옛촌,제주특별자치도 서귀포시 안덕면 사계리 863-7,제주특별자치도 서귀포시 안덕면 사계로 187-6,33.247074,126.302536,3,3221,0,1,11
이성필 커피볶는집,제주특별자치도 제주시 이도2동 광양8길 1,제주특별자치도 제주시 이도2동 광양8길 1,33.499733,126.52797,5,783,0,1,2
미번베트남쌀국수,제주특별자치도 제주시 한림읍 한림리 1587-2,제주특별자치도 제주시 한림읍 한림로5길 23,33.4146732,126.2613821,0,1466,0,0,4
월정리갈비밥,제주특별자치도 제주시 구좌읍 월정리 8-1,제주특별자치도 제주시 구좌읍 월정7길 46,33.554817,126.7969,4,3298,0,2,23
고메아일랜드,제주특별자치도 제주시 도남동 663-9,제주특별자치도 제주시 청사로 85,33.490288,126.5278,5,2082,0,1,4
난드르깡통구이,제주특별자치도 서귀포시 안덕면 창천리 875-6,제주특별자치도 서귀포시 안덕면 대평감산로 14,33.236134,126.367004,4,2864,1,2,13
달에,제주특별자치도 제주시 애월읍 고내리 1124,제주특별자치도 제주시 애월읍 고내로9길 44-2,33.466644,126.3384,0,1386,0,0,2
아랑,"제주특별자치도 제주시 선덕로 5길 25(연동, 연미주택)","제주특별자치도 제주시 선덕로 5길 25(연동, 연미주택)",33.48745,126.50014,0,1336,0,0,3
동방양꼬치구이,제주특별자치도 서귀포시 명동로 14,제주특별자치도 서귀포시 명동로 14,33.246956,126.56347,3,2134,1,1,0
곽지식당,제주특별자치도 제주시 애월읍 곽지리 1575-3,제주특별자치도 제주시 애월읍 곽지3길 27,33.449352,126.30442,0,2195,0,0,1
버거307,"제주특별자치도 제주시 조천읍 함덕리 1269-19 , 더스테이 1층 130호",제주특별자치도 제주시 조천읍 조함해안로 504,33.499622,126.53119,0,2359,0,0,2
준반점,제주특별자치도 제주시 조천읍 함덕리 1004-29,제주특별자치도 제주시 조천읍 조함해안로 528,33.54249,126.669304,0,1862,0,0,1
용두암 바당회국수,제주시 용담3동 1026-3,제주시 서해안로 614,33.51699,126.502815,0,969,0,0,6
제주기정떡,제주특별자치도 제주시 애월읍 광령리 901-4,제주특별자치도 제주시 애월읍 평화로 2747,33.449394,126.43736,0,2375,2,0,11
갤러리앤카페고팡,제주특별자치도 제주시 한림읍 금능남로 15,제주특별자치도 제주시 한림읍 금능남로 15,33.38652,126.23282,0,1921,2,0,0
앞돈지,제주특별자치도 제주시 중앙로1길 28(건입동),제주특별자치도 제주시 중앙로1길 28(건입동),33.516056,126.52759,0,947,0,0,1
2093하우스,제주특별자치도 제주시 조천읍 교래리 786-21,제주특별자치도 제주시 조천읍 남조로 2093,33.427616,126.66658,4,4441,2,2,23
땅땅치킨 봉개점,제주특별자치도 제주시 봉개동 1948,제주특별자치도 제주시 번영로 470,33.491463,126.59227,0,2437,0,0,0
카페공작소,제주특별자치도 제주시 구좌읍 세화리 1477-4,제주특별자치도 제주시 구좌읍 해맞이해안로 1446,33.524647,126.85994,5,14610,10,51,182
섭지향,제주특별자치도 서귀포시 표선면 표선리 1007-2,제주특별자치도 서귀포시 표선면 표선동서로 195,33.3216034,126.8304589,4,1871,0,2,9
아뜰리에 제주명월,제주특별자치도 서귀포시 안덕면 상창리 1273-1,제주특별자치도 서귀포시 안덕면 병악로 31,33.279503,126.36156,4,2761,0,9,25
숙이네보리빵,제주특별자치도 제주시 애월읍 애월리 1584-1,제주특별자치도 제주시 애월읍 애월로 118,33.464344,126.31987,3,3560,1,3,20
연화키친,제주특별자치도 제주시 애월읍 상가리 1697,제주특별자치도 제주시 애월읍 상가로 51,33.448908,126.344049,4,3798,0,7,22
대수길다방,제주특별자치도 제주시 구좌읍 평대리 2030-2,제주특별자치도 제주시 구좌읍 대수길 24,33.536611,126.8381958,5,2388,0,4,16
교래아름가든,제주특별자치도 제주시 조천읍 교래3길 24,제주특별자치도 제주시 조천읍 교래3길 24,33.43561,126.67878,0,1304,0,0,7
오데뜨,제주특별자치도 제주시 애월읍 상가리 2007-4,제주특별자치도 제주시 애월읍 애원로 289,33.44415,126.33761,3,1606,0,1,5
산포식당,제주특별자치도 서귀포시 성산읍 고성리 2129-1,제주특별자치도 서귀포시 성산읍 서성일로 1134,33.445087,126.899796,3,4429,0,1,10
카페 아트진,서귀포시 예래로 454,서귀포시 하예동 1830-7 1층,33.24512,126.38528,5,684,3,5,3
치치퐁,제주특별자치도 서귀포시 안덕면 사계리 171-4,제주특별자치도 서귀포시 안덕면 사계남로216번길 24-62,33.235268,126.313446,4,8312,5,15,86
오르막가든,제주특별자치도 서귀포시 대포중앙로 12,제주특별자치도 서귀포시 대포중앙로 12,33.250298,126.43307,0,2081,0,0,18
금문도,제주특별자치도 제주시 원노형로 36 (노형동),제주특별자치도 제주시 원노형로 36,33.485535,126.4847,0,1450,0,0,0
운해횟집,제주특별자치도 서귀포시 대포동 2367-1,제주특별자치도 서귀포시 대포로 174,33.238829,126.439408,0,2720,1,0,9
자리돔횟집,제주특별자치도 서귀포시 동홍동로 7,제주특별자치도 서귀포시 동홍동로 7,33.25554,126.57477,0,2374,0,0,11
이익새양과점,제주특별자치도 제주시 한림읍 동명리 1576-7,제주특별자치도 제주시 한림읍 명월성로 16,33.4070643,126.2655711,0,1278,0,0,9
피쉬웍스,제주특별자치도 서귀포시 성산읍 고성리 599-1,제주특별자치도 서귀포시 성산읍 환해장성로 913,33.43299,126.91497,0,1119,0,0,3
탑동패밀리레스토랑,제주특별자치도 제주시 삼도2동 1261-7,제주특별자치도 제주시 탑동로2길 3,33.517685,126.52346,3,955,0,1,4
촌촌해녀촌,제주특별자치도 제주시 구좌읍 동복리 1502,제주특별자치도 제주시 구좌읍 동복로 35,33.55347,126.71021,5,3866,1,2,7
잠녀해녀촌,제주특별자치도 제주시 조천읍 함덕리 3150-2,제주특별자치도 제주시 조천읍 조함해안로 410,33.546566,126.65964,3,7962,0,2,36
제주오성,제주특별자치도 서귀포시 색달동 2507-1,제주특별자치도 서귀포시 중문관광로 27,33.2556752,126.4146427,4,3664,0,2,10
은희네해장국(일도점),제주특별자치도 제주시 일도2동 357-4,제주특별자치도 제주시 고마로13길 8,33.508522,126.5408,5,4803,8,4,42
두가시가든,제주특별자치도 서귀포시 표선면 하천리 154-6,제주특별자치도 서귀포시 표선면 하천달산로9번길 96,33.337555,126.84221,0,1398,0,0,2
쫑이네해산물,제주특별자치도 서귀포시 성산읍 온평리 956-1,제주특별자치도 서귀포시 성산읍 환해장성로 549,33.40525,126.903854,0,1230,0,0,0
세이,제주특별자치도 제주시 이도2동 1188-1,제주특별자치도 제주시 서광로32길 34,33.49778,126.52949,0,994,0,0,1
그릴데미그라스,제주특별자치도 서귀포시 법환동 1645-7,제주특별자치도 서귀포시 월드컵로 51,33.24442,126.510895,0,1925,1,0,7
대향연탄구이,제주특별자치도 서귀포시 서귀동 476-4,제주특별자치도 서귀포시 태평로 407,33.244823,126.563866,0,950,0,0,2
모퉁이스낵,제주특별자치도 서귀포시 성산읍 성산리 136-7,제주특별자치도 서귀포시 성산읍 일출로 270-2,33.461685,126.93423,0,1112,0,0,2
제주 어가,제주특별자치도 제주시 노형동 699-5,제주특별자치도 제주시 1100로 3213-8,33.47434,126.48357,5,5304,3,1,35
숨비나리카페,제주특별자치도 서귀포시 안덕면 상창리 2090-1,제주특별자치도 서귀포시 안덕면 중산간서로1615번길 8,33.282284,126.348366,4,2501,0,3,13
달리맨,제주특별자치도 서귀포시 성산읍 고성리 571,제주특별자치도 서귀포시 성산읍 환해장성로 950,33.4445754,126.9095025,0,1400,0,0,9
알마니,제주특별자치도 제주시 구좌읍 세화리 1476-2,제주특별자치도 제주시 구좌읍 해녀박물관길 37,33.5242801,126.8619345,0,627,0,0,1
카페 웰컴,"제주특별자치도 제주시 연동 313-105 , 1층",제주특별자치도 제주시 선덕로 23,33.486317,126.4991,0,151,0,0,0
넘버 138,제주특별자치도 서귀포시 하효동 996-1,제주특별자치도 서귀포시 쇠소깍로 138,33.25168,126.62265,0,1947,1,0,7
곽지BAR다,제주특별자치도 제주시 애월읍 곽지리 1581-22,제주특별자치도 제주시 애월읍 곽지1길 18,33.44777,126.30465,0,1228,0,0,5
데미안,제주특별자치도 제주시 한경면 조수리 1621,제주특별자치도 제주시 한경면 고조로 492-15,33.32901,126.221903,5,2057,0,1,5
현옥식당,제주특별자치도 제주시 서광로2길 35(오라일동),제주특별자치도 제주시 서광로2길 35(오라일동),33.4986,126.51429,4,3989,0,3,57
컴홈,제주특별자치도 제주시 노형동 3797-9,제주특별자치도 제주시 노형6길 9,33.483097,126.477234,0,1531,0,0,0
카페 도두,제주특별자치도 제주시 도두2동 705,제주특별자치도 제주시 서해안로 342,33.510235,126.48173,5,3545,1,2,11
보스코화덕피자,제주특별자치도 제주시 연동 1315,제주특별자치도 제주시 수목원길 27,33.469433,126.4882,5,4675,2,5,26
키아스마,제주특별자치도 서귀포시 남원읍 위미리 939-1,제주특별자치도 서귀포시 남원읍 태위로 255,33.2738476,126.6572752,5,1554,0,1,4
범일분식,제주특별자치도 서귀포시 남원읍 남원리 139-7,제주특별자치도 서귀포시 남원읍 태위로 658,33.278404,126.717,0,967,0,0,7
꼬꼬닭한마리,제주특별자치도 서귀포시 안덕면 녹차분재로 59번길 6,제주특별자치도 서귀포시 안덕면 녹차분재로 59번길 6,33.29061,126.300934,0,2221,0,0,7
해금강횟집,제주특별자치도 제주시 건입동 1435-1,제주특별자치도 제주시 서부두길 28 (건입동),33.51896,126.5287,4,3406,0,2,6
정순화손두부,제주특별자치도 제주시 조천읍 북촌리 1586-1,제주특별자치도 제주시 조천읍 일주동로 1415,33.54495,126.68638,0,2057,0,0,7
황금어장,제주특별자치도 서귀포시 서귀동 275-12,제주특별자치도 서귀포시 중앙로48번길 14,33.2490795,126.5631739,0,2359,0,0,1
바다동굴,제주특별자치도 제주시 한림읍 월령리 317,제주특별자치도 제주시 한림읍 월령3길 36,33.37875,126.216835,4,3038,1,2,19
현기네식당,제주특별자치도 제주시 봉개동 1829-9,제주특별자치도 제주시 번영로 487,33.4910157,126.5942761,0,1291,1,0,0
명품진전복해물탕,제주특별자치도 제주시 이도이동 1970-2,제주특별자치도 제주시 신설로 6,33.4939158,126.5415943,5,7249,7,3,32
바다풍경횟집,제주특별자치도 제주시 용담삼동 513-2,제주특별자치도 제주시 서해안로 654,33.5161862,126.5069194,5,7820,1,5,73
춤추는오병장의돼지꿈,제주특별자치도 제주시 삼양3동 2506-3,제주특별자치도 제주시 일주동로 291,33.5216,126.57609,0,666,3,0,5
둥지식당,제주특별자치도 서귀포시 성산읍 성산리 359-2,제주특별자치도 서귀포시 성산읍 성산등용로 96-3,33.4699665,126.9303414,5,2752,0,1,7
지붕위제주바다,제주특별자치도 제주시 구좌읍 평대리 1878,제주특별자치도 제주시 구좌읍 평대2길 17,33.532677,126.83775,5,4168,1,3,19
새로나분식,제주특별자치도 서귀포시 서귀동 273-5,제주특별자치도 서귀포시 중앙로42번길 24,33.248577,126.56425,4,772,0,2,2
수다브런치카페,제주특별자치도 제주시 이도2동 1979-8,제주특별자치도 제주시 남광로2길 39-23,33.49074,126.54153,0,1164,0,0,1
기억나는집,제주특별자치도 서귀포시 서귀동 486-4,제주특별자치도 서귀포시 중앙로 6,33.245117,126.56229,4,7933,0,6,24
가파도 용궁정식,제주특별자치도 서귀포시 대정읍 가파리 559-1,제주특별자치도 서귀포시 대정읍 가파로67번길 7,33.1661962,126.2730328,3,2585,0,3,1
신스버거,제주특별자치도 제주시 한림읍 월령리 525-1,제주특별자치도 제주시 한림읍 월령2길 2,33.3746401,126.2166188,0,1411,0,0,7
범선국수,지번주소제주특별자치도 제주시 우도면 연평리 677-1,제주특별자치도 제주시 우도면 우도해안길 832,33.51204,126.95887,5,487,0,1,0
모모제이,제주특별자치도 제주시 아라1동 6112-6,제주특별자치도 제주시 인다8길 36-1,33.4261379,126.5626925,4,946,0,1,0
오름위에버거,제주특별자치도 제주시 한경면 저지리 3004-1,제주특별자치도 제주시 한경면 녹차분재로 510,33.317596,126.270035,0,641,0,0,2
샤라의정원,제주특별자치도 제주시 조천읍 선흘리 3976,제주특별자치도 제주시 조천읍 선교로 198-2,33.485813,126.699,0,2386,1,0,8
키친오즈,제주시 한림읍 협재리 958-1,제주시 한림읍 협재로 208,33.38007,126.25113,5,7475,2,28,48
봉평메밀가,제주시 연동 281-9,제주시 신대로 10길 41,33.490746,126.492294,5,778,0,1,2
커먼브릭,제주특별자치도 제주시 노형동 1281-10,제주특별자치도 제주시 월랑로 9,33.48694,126.4781,0,1112,0,0,0
커피림,제주특별자치도 제주시 연동 1315,제주특별자치도 제주시 수목원길 27,33.469433,126.4882,0,1240,0,0,2
달아래팥,제주특별자치도 제주시 한경면 낙천리 1647-4,제주특별자치도 제주시 한경면 낙수로 148,33.324066,126.22911,3,3021,0,1,4
뚱삼춘연탄구이,제주특별자치도 서귀포시 성산읍 오조리 7-2,제주특별자치도 서귀포시 성산읍 한도로 124,33.46849,126.92127,5,1578,0,3,10
신우성타운,제주특별자치도 서귀포시 색달동 2822-2,제주특별자치도 서귀포시 중문관광로72번길 29-9,33.24968,126.41136,0,1408,0,0,0
탐라면,"제주특별자치도 제주시 애월읍 애월리 2482-1 , 1층",제주특별자치도 제주시 애월읍 애월로 37,33.462128,126.31228,4,1734,0,1,5
그리다앤쿡,"제주특별자치도 제주시 이도2동 1185-14 , 2층",제주특별자치도 제주시 신성로 111,33.497475,126.530716,0,1823,0,0,1
엘리펀시아,제주특별자치도 제주시 노형동 156-8,제주특별자치도 제주시 1100로 3124,33.483097,126.477234,4,1636,1,1,6
추자도중앙식당,제주특별자치도 제주시 추자면 대서리 5-10,제주특별자치도 제주시 추자면 추자로 8-1,33.963028,126.2978,4,1525,0,1,0
오로라식당,제주특별자치도 제주시 우도면 연평리 1401-3,제주특별자치도 제주시 우도면 우도로 174 농협 건너편,33.50793,126.95436,5,1455,0,1,2
영주말가든,제주특별자치도 제주시 오라2동 3176,제주특별자치도 제주시 연북로 196,33.4812517,126.5021897,5,5055,0,3,24
파라다이스비치,제주특별자치도 제주시 구좌읍 김녕리 1223-9,제주특별자치도 제주시 구좌읍 김녕로21길 9,33.556812,126.75539,0,360,0,0,1
생돈우리,제주특별자치도 제주시 노형동 3608,제주특별자치도 제주시 우평로 38,33.479877,126.461846,5,9587,4,4,73
아지 함덕점,"제주특별자치도 제주시 조천읍 함덕리 1252-55, 1층",제주특별자치도 제주시 조천읍 조함해안로 490,33.54256,126.66524,0,862,0,0,1
돌미롱,제주특별자치도 제주시 아라일동 6095-17,제주특별자치도 제주시 아란7길 14,33.4558924,126.5620301,5,1052,0,1,2
미나식탁,제주특별자치도 제주시 아라2동 3012-18,제주특별자치도 제주시 구남동1길 46,33.476097,126.5543,5,1761,0,2,4
전복사랑,제주특별자치도 제주시 도두2동 707,제주특별자치도 제주시 서해안로 354,33.510433,126.483025,0,1011,0,0,3
고집돌우럭(중문),제주특별자치도 서귀포시 색달동 2351,제주특별자치도 서귀포시 일주서로 879,33.25799,126.41676,5,18474,15,12,153
중문랜드프리미엄뷔페,제주특별자치도 서귀포시 상예동 2802,제주특별자치도 서귀포시 소보리당로164번길 62,33.2639753,126.3852041,0,4303,0,0,18
추가네,제주특별자치도 제주시 서사로 176(오라일동),제주특별자치도 제주시 서사로 176(오라일동),33.496532,126.51957,0,871,0,0,0
지오아라,제주특별자치도 서귀포시 안덕면 사계리 245-1,제주특별자치도 서귀포시 안덕면 사계로114번길 54-86,33.23644,126.30779,0,2223,0,0,0
평대스낵,제주특별자치도 제주시 구좌읍 평대리 1976-1,제주특별자치도 제주시 구좌읍 대수길 7,33.535458,126.839325,4,3525,2,11,49
수두리보말칼국수,제주특별자치도 서귀포시 중문동 2056-2,제주특별자치도 서귀포시 천제연로 192,33.2515765,126.4251078,4,14132,13,8,143
바다속고등어쌈밥,제주특별자치도 제주시 애월읍 하귀1리 1548,제주특별자치도 제주시 애월읍 일주서로 7089,33.484203,126.40683,4,7679,0,8,47
마라도별장식당,제주특별자치도 서귀포시 대정읍 가파리 697,제주특별자치도 서귀포시 대정읍 마라로101번길 43,33.118282,126.26671,0,1383,0,0,1
블루밍제이,제주특별자치도 제주시 한림읍 명월리 1729-1,제주특별자치도 제주시 한림읍 명월로2길 6,33.3877056,126.2654377,0,786,0,0,1
카페 깡,제주특별자치도 서귀포시 표선면 가시리 1900-1,제주특별자치도 서귀포시 표선면 가시로565번길 18,33.35335,126.77206,5,875,0,2,1
쌍둥이횟집본점,제주특별자치도 서귀포시 중정로62번길 14,제주특별자치도 서귀포시 중정로62번길 14,33.24659,126.562996,5,7837,2,6,70
어우늘,제주특별자치도 제주시 연북로 222,제주특별자치도 제주시 연북로 222,33.481052,126.50499,5,1227,0,1,5
지미스,제주특별자치도 제주시 우도면 연평리 317-2,제주특별자치도 제주시 우도면 우도해안길 1132,33.4981207,126.9666872,4,4119,1,23,55
황금손가락,제주특별자치도 제주시 아라2동 3012-1,제주특별자치도 제주시 구남동1길 44,33.49308,126.54125,5,2168,0,5,10
진고개가든,제주특별자치도 서귀포시 서홍동 590-1,제주특별자치도 서귀포시 남성중로 155,33.245605,126.55323,0,622,0,0,2
한림칼국수,제주특별자치도 제주시 한림읍 한림리 1328-15,제주특별자치도 제주시 한림읍 한림해안로 141,33.4155701,126.2615642,5,15107,8,11,174
흑염소마루,제주특별자치도 서귀포시 남원읍 남원리 116-14,제주특별자치도 서귀포시 남원읍 태위로663번길 1-1,33.27901,126.71733,0,1650,0,0,0
진미명가식당,제주특별자치도 서귀포시 안덕면 사계리 2072,제주특별자치도 서귀포시 안덕면 사계남로 167,33.2283602,126.3076807,0,1866,1,0,0
영춘식당,제주특별자치도 제주시 도남동 921-50,제주특별자치도 제주시 도남로7길 37-1,33.4968895,126.5273627,0,934,0,0,1
어머니와고등어,제주특별자치도 제주시 도두일동 1705-2,제주특별자치도 제주시 도두봉2길 43,33.5061518,126.4734167,5,1934,0,1,5
엉클통김밥,제주특별자치도 제주시 우도면 연평리 2572,,33.499863,126.9442,5,516,0,1,3
헬로우우도,제주특별자치도 제주시 우도면 연평리 2572,제주특별자치도 제주시 우도면 우도해안길 218,33.499863,126.9442,5,673,0,1,0
산호풍경,제주특별자치도 제주시 우도면 연평리 2516-2,제주특별자치도 제주시 우도면 우도해안길 252,33.50263,126.94384,5,1025,0,1,0
춘심이네,제주특별자치도 서귀포시 안덕면 창천리 160-4,제주특별자치도 서귀포시 안덕면 창천중앙로24번길 16,33.2647887,126.3707772,5,27217,7,31,273
오조해녀의 집,제주특별자치도 서귀포시 성산읍 오조리 3,제주특별자치도 서귀포시 성산읍 한도로 141-13,33.4698069,126.9223318,5,3645,1,1,6
돈풍년,제주특별자치도 제주시 아라2동 3014-1,제주특별자치도 제주시 승천로 52,33.492493,126.54009,0,1063,0,0,2
탐라흑돼지,제주특별자치도 서귀포시 성산읍 성산리 218-14,제주특별자치도 서귀포시 성산읍 성산중앙로 60-1,33.464703,126.93501,0,1200,0,0,1
제주정,제주특별자치도 제주시 삼양2동 2142-3,제주특별자치도 제주시 일주동로 320,33.521053,126.57905,0,1344,0,0,1
해운대가든,제주특별자치도 서귀포시 호근동 431-8,제주특별자치도 서귀포시 태평로 122,33.244057,126.53643,0,1149,0,0,2
예지원,제주특별자치도 서귀포시 천제연로 129,제주특별자치도 서귀포시 천제연로 129,33.254017,126.41936,5,2719,1,2,15
돌집식당,제주특별자치도 서귀포시 표선면 성읍리 1624-3,제주특별자치도 서귀포시 표선면 서성일로 23,33.39403,126.800644,3,2083,0,1,8
섯동네해녀의집,제주특별자치도 제주시 우도면 연평리 2515-5,제주특별자치도 제주시 우도면 연평리 2515-5,33.502247,126.943825,5,1297,0,1,3
괸당네식당,제주특별자치도 서귀포시 성산읍 신산리 1009-1,제주특별자치도 서귀포시 성산읍 독자봉로 2,33.383244,126.876884,4,2092,0,1,2
강해일횟집,제주특별자치도 서귀포시 표선면 표선리 40-31,제주특별자치도 서귀포시 표선면 표선당포로 14,33.325714,126.84444,5,1990,0,1,5
미원,제주특별자치도 제주시 원노형6길 10,제주특별자치도 제주시 원노형6길 10,33.48518,126.48274,0,542,0,0,0
비원,제주특별자치도 제주시 노형동 100,제주특별자치도 제주시 수목원길 3,33.470055,126.4862,5,989,0,1,1
한라앤탐,제주특별자치도 서귀포시 남원읍 위미리 887-1,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 8,33.272984,126.67426,5,4048,2,2,15
김지순의 낭푼밥상,제주특별자치도 제주시 연동 265-3,제주특별자치도 제주시 연동6길 28,33.483483,126.4890064,4,26483,1,5,65
카페콧수염,제주특별자치도 제주시 구좌읍 월정리 670,제주특별자치도 제주시 구좌읍 해맞이해안로 402,33.559395,126.792915,5,4006,2,1,18
시흥해녀의집,제주특별자치도 서귀포시 성산읍 시흥리 12-64,제주특별자치도 서귀포시 성산읍 시흥하동로 114,33.477978,126.90835,5,3139,0,3,4
명물,제주특별자치도 제주시 삼도이동 1167-4,제주특별자치도 제주시 탑동로11길 2-1,33.5166654,126.517019,0,1359,0,0,2
순풍해장국,제주특별자치도 제주시 삼양2동 2132-1,제주특별자치도 제주시 일주동로 355,33.521584,126.58313,0,1385,0,0,4
코너스윗,제주특별자치도 제주시 연동 261-39,제주특별자치도 제주시 제원길 14,33.488663,126.48927,0,661,0,0,0
탐라가든,제주특별자치도 제주시 삼도이동 632-7,제주특별자치도 제주시 서사로 51,33.5078115,126.5203642,0,1465,0,0,6
마라도해녀촌짜장,제주특별자치도 서귀포시 대정읍 가파리 588,제주특별자치도 서귀포시 대정읍 마라로 41,33.119938,126.26721,5,1681,0,1,1
심봉사눈뜬톳해물짜장짬뽕,제주특별자치도 서귀포시 대정읍 가파리 589,제주특별자치도 서귀포시 대정읍 마라로 43,33.119724,126.26715,0,1227,0,0,1
머들왓,제주특별자치도 제주시 구좌읍 행원리 3449,제주특별자치도 제주시 구좌읍 덕행로 490,33.510315,126.77744,0,451,0,0,2
한라식당,제주특별자치도 서귀포시 표선면 성읍정의현로 22번길 8,제주특별자치도 서귀포시 표선면 성읍정의현로 22번길 8,33.384098,126.807465,4,3866,0,3,21
양촌리마을,제주특별자치도 제주시 진군길 31-5,제주특별자치도 제주시 진군길 31-5,33.479332,126.48151,0,1433,0,0,0
낭뜰에쉼팡,제주특별자치도 제주시 조천읍 와흘리 125,제주특별자치도 제주시 조천읍 남조로 2343,33.4735321,126.6571882,5,10760,1,6,91
