R_Eatery_Name,R_Eatery_Old_Addr,R_Eatery_Addr,R_Eatery_Latitude,R_Eatery_Longtitude,R_Eatery_Score,R_Eatery_Views,R_Eatery_Preference,R_Eatery_Reviews,R_Eatery_Bookmarks
세가름,제주특별자치도 제주시 한경면 신창리 151-2,제주특별자치도 제주시 한경면 신한로 20,33.34942,126.18502,0,1033,0,0,0
아자리아,제주특별자치도 제주시 연동 263-15,,33.484756,126.48871,0,413,0,0,1
고로케야,제주특별자치도 제주시 이도2동 317,제주특별자치도 제주시 가령골2길 13-20,33.50456,126.53928,0,1028,0,0,1
이노우에스시,제주특별자치도 제주시 연동 1413-7,제주특별자치도 제주시 과원로 78-1,33.477154,126.49147,0,1274,0,0,0
메콩스카이,제주특별자치도 제주시 오라삼동 2912-7,제주특별자치도 제주시 연오로 35,33.4902063,126.502177,5,2994,0,5,9
웅담식당,제주특별자치도 서귀포시 서귀동 295-3,제주특별자치도 서귀포시 중앙로59번길 5,33.24985,126.561104,0,1129,0,0,3
띠띠빵빵,제주특별자치도 제주시 우도면 연평리 132,제주특별자치도 제주시 우도면 우도해안길 982,33.508118,126.967026,5,1086,0,1,0
우도해녀식당,제주특별자치도 제주시 우도면 연평리 2308-3,제주특별자치도 제주시 우도면 우도해안길 440,33.514523,126.94903,5,4718,0,5,24
미송식탁,제주특별자치도 제주시 연동 291-26,제주특별자치도 제주시 삼무로11길 36,33.490409,126.4957649,5,1045,0,2,3
다래향2호점,제주특별자치도 제주시 구좌읍 세화리 1521-17,제주특별자치도 제주시 구좌읍 세화1길 4,33.523914,126.8546,0,1310,0,0,3
레드브라운,제주특별자치도 서귀포시 남원읍 위미리 936-7,제주특별자치도 서귀포시 남원읍 태위로 268,33.3060336,126.6580882,5,1339,0,1,0
우정회센타,제주특별자치도 서귀포시 서귀동 276-20,제주특별자치도 서귀포시 중앙로54번길 32 (서귀동),33.249947,126.563934,0,1430,0,0,8
서문수산,제주특별자치도 제주시 용담1동 135-9,제주특별자치도 제주시 서문로4길 13-2,33.511383,126.517975,0,5460,0,0,6
마더카페,제주특별자치도 서귀포시 남원읍 태흥리 1114,제주특별자치도 서귀포시 남원읍 태위로894번길 45,33.2809886,126.7413132,5,1377,0,1,5
애월바베,제주특별자치도 제주시 노형동 945-22,제주특별자치도 제주시 원노형10길 32,33.4832371,126.4861753,0,2258,1,0,0
종이시계 카페,제주특별자치도 제주시 애월읍 하귀2리 2724-9,제주특별자치도 제주시 애월읍 애월해안로 899,33.4853375,126.3918721,0,713,0,0,0
마레벤또,제주특별자치도 제주시 애월읍 애월리 2501-1,제주특별자치도 제주시 애월읍 애월로1길 10,33.46261,126.31173,0,1399,0,0,5
문주란식당,제주특별자치도 제주시 구좌읍 해맞이해안로 1852,,33.52221,126.89805,3,644,0,1,5
바람벽에흰당나귀,제주특별자치도 제주시 구좌읍 동복리 1645-1,제주특별자치도 제주시 구좌읍 동복로 11,33.55385,126.70767,4,4931,3,8,44
미복빈대떡,제주시 연동 273-37,제주시 신대로16길 49,33.486736,126.49128,0,618,1,0,2
24시 전주명가콩나물국밥,제주시 아라1동 2417-3,제주시 구산로 59,33.484882,126.540855,0,1135,0,0,2
달사막,제주특별자치도 제주시 조천읍 함덕리 272-28,제주특별자치도 제주시 조천읍 함덕로 26,33.5419672,126.6725058,4,1226,0,2,3
카페물결,제주특별자치도 제주시 건입동 340-2,제주특별자치도 제주시 사라봉동길 108-1,33.5213071,126.545873,0,360,0,0,0
베이커리 포그,제주특별자치도 제주시 아라일동 6095-13,제주특별자치도 제주시 아란7길 10,33.4745825,126.54438,0,3,0,0,0
제주복돈,제주특별자치도 제주시 노형동 115,제주특별자치도 제주시 1100로 3164,33.46895,126.4858,0,1494,0,0,1
로치아 커피로스터스,제주특별자치도 제주시 도두1동 2449-1,제주특별자치도 제주시 도공로 53,33.5018689,126.4667263,0,892,0,0,0
맥파이브루어리(양조장),제주특별자치도 제주시 회천동 1309,제주특별자치도 제주시 동회천1길 23,33.50308,126.61739,5,795,0,4,8
보노리미니,제주시 조천읍 함덕리 1269-19,제주시 조천읍 조함해안로 504,33.54239,126.66692,0,779,1,0,6
라지마할 RAJMAHAL,제주특별자치도 제주시 연동 272-13,제주특별자치도 제주시 신광로 39,33.488564,126.49037,5,2615,0,1,2
로스터리카페 담담,제주시 한경면 저지리 3263-2,제주시 한경면 저지12길 60,33.339027,126.262566,0,1126,0,0,2
조아찌,제주특별자치도 제주시 이호1동 1777,제주특별자치도 제주시 테우해안로 160,33.496723,126.45083,0,912,0,0,3
갯마을,제주특별자치도 제주시 연동 253-4,제주특별자치도 제주시 연동4길 6-2,33.48551,126.48766,0,1060,0,0,1
야한식당,제주특별자치도 제주시 이도2동 1009,제주특별자치도 제주시 신성로14길 2,33.496998,126.530655,0,648,0,0,2
제주중문수제맥주,제주특별자치도 서귀포시 중문동 1884-6,제주특별자치도 서귀포시 천제연로 264 (중문동),33.25084,126.433205,5,1924,0,1,12
한경청방,제주특별자치도 제주시 한경면 두모리 2621-1,제주특별자치도 제주시 한경면 두모11길 51,33.356884,126.182594,3,868,0,1,4
손맛촌,제주특별자치도 제주시 조천읍 교래리 534,제주특별자치도 제주시 조천읍 비자림로 661,33.4276176,126.6665803,5,3261,0,1,34
몽키비치클럽 Monkey Beach,서귀포시 색달동 2822-2,서귀포시 중문관광로72번길 29-9,33.24968,126.41136,0,3509,2,0,4
봉주르마담,제주특별자치도 서귀포시 강정동 208-4,제주특별자치도 서귀포시 대청로 33,33.2474456,126.5056302,0,1102,1,0,10
소라횟집,제주특별자치도 제주시 구좌읍 평대리 515-67,제주특별자치도 제주시 구좌읍 해맞이해안로 1240-3,33.5323482,126.8463073,3,1549,0,1,3
소년감성(카페샐리),제주특별자치도 서귀포시 남원읍 태흥리 50-3,제주특별자치도 서귀포시 남원읍 태신해안로 125,33.292168,126.76146,5,1399,0,8,4
