R_Stay_Name,R_Stay_Old_Addr,R_Stay_Addr,R_Stay_Latitude,R_Stay_Longtitude,R_Stay_Score,R_Stay_Views,R_Stay_Preference,R_Stay_Reviews,R_Stay_Bookmarks
포시즌펜션,제주특별자치도 서귀포시 토평동 636,제주특별자치도 서귀포시 칠십리로285번길 3,33.2844099,126.5796743,0,1256,0,0,0
디아넥스 호텔,제주특별자치도 서귀포시 안덕면 상천리 380-7,제주특별자치도 서귀포시 안덕면 산록남로762번길 71,33.303474,126.39206,3,4521,0,1,9
쿨쿨하우스,제주특별자치도 서귀포시 동홍동 819-5,제주특별자치도 서귀포시 동홍로262번길 62,33.269596,126.57267,0,1533,1,0,0
서귀포KAL호텔,제주특별자치도 서귀포시 토평동 486-3,제주특별자치도 서귀포시 칠십리로 242,33.24653,126.58174,5,10161,3,13,18
서귀포시달빛게스트하우스,제주특별자치도 서귀포시 서호동 638,제주특별자치도 서귀포시 서호로 47,33.2583356,126.5223479,0,1507,0,0,0
선스토리,제주특별자치도 서귀포시 표선면 표선리 1160-1,제주특별자치도 서귀포시 표선면 표선백사로60번길 72,33.31633,126.8377,0,1776,0,0,0
제주마실게스트하우스,제주특별자치도 제주시 오라일동 2444-34,제주특별자치도 제주시 서광로2길 11-16,33.4988783,126.5136184,0,1862,0,0,0
호텔 리젠트마린,제주특별자치도 제주시 건입동 1443,제주특별자치도 제주시 서부두2길 20,33.517624,126.52711,5,5092,1,2,20
제주별바람,제주특별자치도 제주시 한림읍 수원리 260-8,제주특별자치도 제주시 한림읍 한림해안로 500,33.434667,126.2725769,0,1282,0,0,1
숲골 제주독채펜션,제주특별자치도 제주시 조천읍 선흘리 2044-2,제주특별자치도 제주시 조천읍 선교로 211-19,33.48445,126.70247,0,2183,0,0,0
배배게스트하우스,제주특별자치도 제주시 한경면 신창리 511,제주특별자치도 제주시 한경면 신창1길 20,33.347263,126.180954,0,1497,0,0,0
마레보 리조트,제주특별자치도 제주시 애월읍 고내리 41,제주특별자치도 제주시 애월읍 신엄안3길 135,33.47147,126.35424,5,14363,2,4,22
푸른솔맑은향,제주특별자치도 제주시 노형동 1620-1,제주특별자치도 제주시 고사마루길 125,33.471752,126.47411,0,1348,0,0,0
베리안,제주특별자치도 제주시 조천읍 함덕리 273-42,제주특별자치도 제주시 조천읍 함덕29길 25-14,33.54172,126.67459,0,733,0,0,1
별똥별채집소,제주특별자치도 제주시 구좌읍 하도리 883-2,제주특별자치도 제주시 구좌읍 하도13길 51-1,33.5112899,126.8919993,0,2146,0,0,2
셋째날,제주특별자치도 서귀포시 상효동 549-2,제주특별자치도 서귀포시 하신상로 273-7,33.3306923,126.5673572,0,996,0,0,0
소리게스트하우스,제주특별자치도 제주시 서사로 63,,33.50679,126.520195,0,841,0,0,0
아인스호텔,제주특별자치도 서귀포시 서귀동 162-7,제주특별자치도 서귀포시 태평로 432,33.245426,126.5665,5,2300,0,1,2
라벤다호텔,제주특별자치도 서귀포시 서귀동 323-19,제주특별자치도 서귀포시 중정로 1,33.247696,126.55669,0,2612,0,0,2
홍익샤모니리조트,제주특별자치도 서귀포시 강정동 1545,제주특별자치도 서귀포시 중산간서로 68,33.263313,126.504395,5,3685,0,1,1
홍익제주호텔,제주특별자치도 제주시 한림읍 협재리 1165,제주특별자치도 제주시 한림읍 일주서로 5125,33.391716,126.253944,0,2414,0,0,0
트리하우스,제주특별자치도 서귀포시 안덕면 서광리 905-1,제주특별자치도 서귀포시 안덕면 평화로319번길 199-51,33.2842856,126.3138272,0,1116,0,0,0
중문빌리지,제주특별자치도 서귀포시 하예동 141,제주특별자치도 서귀포시 예래로 270,33.2427,126.38525,0,1610,0,0,0
몬떼뷰 스테이,제주특별자치도 서귀포시 안덕면 사계리 2277-2,제주특별자치도 서귀포시 안덕면 사계남로 75-9,33.23017,126.30181,0,702,0,0,0
민박하얀집,제주특별자치도 제주시 한림읍 협재리 1707-1,제주특별자치도 제주시 한림읍 협재1길 9,33.3965751,126.2425147,0,1899,0,0,0
바당정원펜션,제주특별자치도 제주시 한경면 판포리 1790,제주특별자치도 제주시 한경면 판조로 23,33.366011,126.2065075,0,1490,0,0,0
나날 게스트하우스,제주특별자치도 서귀포시 서홍동 743-17,제주특별자치도 서귀포시 남성중로121번길 14,33.2426292,126.5554453,5,6059,15,6,14
씨스테이호텔,제주특별자치도 제주시 애월읍 고내리 1105-1,제주특별자치도 제주시 애월읍 애월해안로 255,33.4675271,126.339144,0,1892,0,0,6
레지나팬션,제주특별자치도 서귀포시 강정동 925-2,제주특별자치도 서귀포시 이어도로 789,33.236835,126.49956,0,1253,0,0,0
산토리니 펜션,제주시 애월읍 구엄리 461,제주시 애월읍 애월해안로 774,33.485985,126.38253,5,1054,0,1,1
도원펜션,제주특별자치도 서귀포시 대정읍 무릉리 3349,제주특별자치도 서귀포시 대정읍 서삼중로 155,33.27364,126.19625,0,569,0,0,0
일출썬 펜션,제주특별자치도 서귀포시 성산읍 성산리 282-2,제주특별자치도 서귀포시 성산읍 성산중앙로 67,33.465336,126.93507,0,513,0,0,0
황토골,제주특별자치도 제주시 한경면 녹차분재로 725,제주특별자치도 제주시 한경면 녹차분재로 725,33.32732,126.25036,0,896,0,0,0
무위재,제주특별자치도 서귀포시 안덕면 병악로 87,제주특별자치도 서귀포시 안덕면 병악로 87,33.28401,126.36419,0,1104,0,0,1
덕천씨엘빌,제주특별자치도 제주시 구좌읍 덕천리 860-1,제주특별자치도 제주시 구좌읍 덕평로 121-95,33.494606,126.752174,0,808,0,0,0
나쿠펜다 제주,제주특별자치도 서귀포시 강정동 630-3,제주특별자치도 서귀포시 이어도로 842-27,33.234344,126.50307,0,1071,0,0,0
제주엘루이호텔,제주특별자치도 제주시 삼도1동 552-16,제주특별자치도 제주시 서광로21길 1,33.50019,126.52189,4,2246,0,1,0
제주공항 고추잠자리 게스트하우스,제주특별자치도 제주시 연동 2526-4,제주특별자치도 제주시 도령로 190,33.4966771,126.495282,0,1213,0,0,3
미도호스텔,제주특별자치도 서귀포시 서귀동 258-2,제주특별자치도 서귀포시 동문동로 13-1,33.249977,126.56642,4,3399,0,2,9
비앤비호텔,제주특별자치도 제주시 연동 271-4,제주특별자치도 제주시 삼무로3길 48,33.490578,126.490746,0,1199,0,0,2
밀감나무펜션,제주특별자치도 제주시 한림읍 동명리 149-2,제주특별자치도 제주시 한림읍 중산간서로 4627,33.38445,126.28355,0,765,0,0,0
바다드림,제주특별자치도 제주시 용담삼동 2282,제주특별자치도 제주시 어영길 18-9,33.5181481,126.4949383,0,1350,0,0,0
산호상점&하우스,제주특별자치도 제주시 구좌읍 김녕리 2464,제주특별자치도 제주시 구좌읍 김녕로2길 20,33.523968,126.791985,0,555,0,0,0
여래게스트하우스,제주특별자치도 제주시 구좌읍 세화리 1382-1,제주특별자치도 제주시 구좌읍 세화7길 31-2,33.523663,126.86099,0,1248,0,0,2
베스트웨스턴제주호텔,제주특별자치도 제주시 노형동 1295-16,제주특별자치도 제주시 도령로 27,33.487797,126.481895,5,7320,5,3,25
썬라이즈호텔,제주특별자치도 서귀포시 중문동 2453,제주특별자치도 서귀포시 중문관광로 310,33.2474985,126.4305878,0,1813,0,0,0
애월포구풍경,제주특별자치도 제주시 애월읍 애월리 1771-2,제주특별자치도 제주시 애월읍 애월로11길 18,33.46594,126.32084,5,2544,0,1,0
하바나블루스,제주특별자치도 제주시 한경면 신창리 1371-7,제주특별자치도 제주시 한경면 한경해안로 474-26,33.340337,126.1730985,5,1815,2,2,4
랜딩관 제주신화월드 호텔앤리조트,제주특별자치도 서귀포시 안덕면 서광리 산 24,제주특별자치도 서귀포시 안덕면 신화역사로304번길 38,33.3017501,126.3206458,5,7754,6,3,19
블루팜파크,제주특별자치도 서귀포시 표선면 표선리 1411-1,제주특별자치도 서귀포시 표선면 표선동서로 85,33.3136,126.82512,0,605,0,0,0
