R_Spot_Name,R_Spot_Old_Addr,R_Spot_Addr,R_Spot_Latitude,R_Spot_Longtitude,R_Spot_Score,R_Spot_Views,R_Spot_Preference,R_Spot_Reviews,R_Spot_Bookmarks
공천포,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.26769,126.645996,4,3850,0,9,19
제주민속촌,제주특별자치도 서귀포시 표선면 민속해안로 631-34,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.32226,126.84201,5,47560,6,36,449
제주빅볼랜드,제주특별자치도 제주시 애월읍 어음리 산 3,제주특별자치도 제주시 애월읍 산록서로 15,33.3659432,126.35644,5,36634,4,2,154
마오름(맞보기)(안덕),제주특별자치도 서귀포시 안덕면 산록남로,제주특별자치도 서귀포시 안덕면 산록남로,33.325733,126.40013,0,900,0,0,0
"과오름(큰오름, 샛오름, 말젯오름)",제주특별자치도 제주시 애월읍 곽지리 산 1,제주특별자치도 제주시 애월읍 곽지리 산 1,33.44657762,126.3238801,0,2279,0,0,1
신양해안도로,제주특별자치도 서귀포시 성산읍 신고로,제주특별자치도 서귀포시 성산읍 신고로,33.431046,126.91553,0,3812,2,0,38
너븐숭이 4.3기념관,제주특별자치도 제주시 조천읍 북촌리 1599,제주특별자치도 제주시 조천읍 북촌3길 3,33.545986,126.68877,5,32371,9,40,64
백약이오름,제주특별자치도 서귀포시 표선면 성읍리 산 1,제주특별자치도 서귀포시 표선면 성읍리 산 1,33.437283,126.79018,5,62704,5,57,237
디스커버제주,제주특별자치도 서귀포시 대포동 760-3,제주특별자치도 서귀포시 대포로 26,33.2435151,126.4352216,0,9651,1,0,29
"광이오름 (괭이오름, 肝列岳)",제주특별자치도 제주시 연동 산 62,제주특별자치도 제주시 연동 산 62,33.46847099,126.4950638,0,2661,0,0,0
오름터 민속마을,제주특별자치도 서귀포시 표선면 성읍리 599-1,제주특별자치도 서귀포시 표선면 성읍정의현로 99,33.391445,126.80072,0,4404,1,0,19
제주승마공원,제주특별자치도 제주시 애월읍 녹고메길 152-1,제주특별자치도 제주시 애월읍 녹고메길 152-1,33.405148,126.40689,5,18962,1,1,54
제주실탄사격장,제주특별자치도 서귀포시 상예동 2802,제주특별자치도 서귀포시 소보리당로 164번길 62(상예동),33.2639753,126.3852041,5,75288,6,3,121
서귀포 축구공원,제주특별자치도 서귀포시 신효동 910,제주특별자치도 서귀포시 효돈순환로 311-29,33.2588393,126.6105252,0,1372,0,0,1
제주카약,제주특별자치도 제주시 조천읍 함덕리 207-1,제주특별자치도 제주시 조천읍 평사길 19,33.5437998,126.6739948,0,8674,3,0,53
클럽나인브릿지,제주특별자치도 서귀포시 안덕면 광평리 산 15,제주특별자치도 서귀포시 안덕면 광평로 34-156,33.3420536,126.4046382,5,1728,0,2,3
서귀포시립기당미술관,제주특별자치도 서귀포시 서홍동 621,제주특별자치도 서귀포시 남성중로153번길 15,33.244656,126.551796,0,7426,0,0,16
서건도,제주특별자치도 서귀포시 강정동 산 1,제주특별자치도 서귀포시 강정동 산 1,33.23007,126.49852,5,8011,1,4,17
새신오름(신서악),제주특별자치도 제주시 한경면 청수리 2661-4,제주특별자치도 제주시 한경면 청수리 2661-4,33.298912,126.23928,0,1343,0,0,3
법화사지,제주특별자치도 서귀포시 하원동 1071-1,제주특별자치도 서귀포시 하원북로35번길 15-28,33.2653454,126.4576828,5,3573,0,2,9
보롬왓,제주특별자치도 서귀포시 표선면 성읍리 3229-4,제주특별자치도 서귀포시 표선면 번영로 2350-104,33.41367,126.75351,5,67590,19,57,653
제주프린지페스티벌,제주특별자치도 제주시 삼도2동 60-5,,33.512447,126.52219,0,914,0,0,2
귀빈사,제주특별자치도 제주시 구좌읍 송당리 2438,제주특별자치도 제주시 구좌읍 비자림로 1456,33.4429016,126.7613249,5,7201,1,1,30
스쿠버스쿨,제주특별자치도 제주시 도두이동 1669-3,제주특별자치도 제주시 서해안로 301,33.5089684,126.4776764,0,7265,3,0,28
쇠소깍제트,제주특별자치도 서귀포시 하효동 999,제주특별자치도 서귀포시 쇠소깍로 151-8 (하효동),33.250526,126.62091,3,11215,1,1,46
수악 (물오름),제주특별자치도 서귀포시 남원읍 하례리 산 10,제주특별자치도 서귀포시 남원읍 516로 1042,33.3616666,126.5291666,0,4299,0,0,23
타보카 월정리투명카약,제주특별자치도 제주시 구좌읍 월정리 1400-4,제주특별자치도 제주시 구좌읍 월정리 1400-4,33.56346,126.78025,5,7709,2,1,102
신양포구,제주특별자치도 서귀포시 성산읍 고성리,제주특별자치도 서귀포시 성산읍 고성리,33.444576,126.9095,0,1587,0,0,0
지포뮤지엄,제주특별자치도 서귀포시 성산읍 고성리 127-2,제주특별자치도 서귀포시 성산읍 섭지코지로 107,33.430576,126.92777,5,10973,4,1,26
"방주오름 (방지오름, 방제오름)",제주특별자치도 제주시 한림읍 명월리 679,제주특별자치도 제주시 한림읍 명월리 679,33.3772555,126.2851832,0,1416,0,0,0
천지연폭포,제주특별자치도 서귀포시 서홍동 666-1,제주특별자치도 서귀포시 남성중로 2-15,33.2447173,126.5598201,5,322025,72,199,1676
쌍용굴(한림공원),제주특별자치도 제주시 한림읍 협재리 2487,제주특별자치도 제주시 한림읍 한림로 300,33.3894949,126.2396825,5,11702,2,1,73
쉬리의언덕,제주특별자치도 서귀포시 색달동 3039-1,제주특별자치도 서귀포시 중문관광로72번길 114,33.244597,126.406077,5,15481,3,4,103
시민축구장,제주특별자치도 서귀포시 토평동 1128-1,제주특별자치도 서귀포시 토평남로 47-13,33.2617646,126.5893096,0,963,0,0,1
제주돌마을공원,제주특별자치도 제주시 한림읍 금능리 368-2,제주특별자치도 제주시 한림읍 금능남로 421,33.3537549,126.2536813,5,8465,3,3,39
삼매봉,제주특별자치도 서귀포시 서홍동 819,제주특별자치도 서귀포시 남성로115번길 83,33.2639577,126.5507293,5,5157,0,1,2
삼사석,제주특별자치도 제주시 화북1동 1380-1,제주특별자치도 제주시 화북1동 1380-1,33.521027,126.5741,0,2539,1,0,2
제주월드컵경기장,제주특별자치도 서귀포시 법환동 914,제주특별자치도 서귀포시 월드컵로 33,33.2472388,126.5092079,4,48801,0,14,14
안돌오름,제주특별자치도 제주시 구좌읍 송당리 산 66-2,제주특별자치도 제주시 구좌읍 송당리 산 66-2,33.45711281,126.756355,5,7434,3,6,37
붉은오름(표선면),제주특별자치도 서귀포시 표선면 가시리 산 158,제주특별자치도 서귀포시 표선면 남조로 1487-73,33.39796786,126.6801269,5,7569,3,3,16
제주베니스랜드,제주특별자치도 서귀포시 성산읍 난산리 2575,제주특별자치도 서귀포시 성산읍 난산리 2575,33.416195,126.840904,5,32449,6,13,177
붉은오름 자연휴양림,제주특별자치도 서귀포시 표선면 가시리 산 158,제주특별자치도 서귀포시 표선면 남조로 1487-73,33.395905,126.669785,5,44617,11,17,74
서귀포자연휴양림,제주특별자치도 서귀포시 대포동 산 1-8,제주특별자치도 서귀포시 1100로 882,33.31167,126.45876,5,19932,6,12,121
엉알해안,제주특별자치도 제주시 한경면 고산리 3427-33,제주특별자치도 제주시 한경면 고산리 3427-33,33.29957022,126.1674244,5,5511,1,4,32
비양도,제주특별자치도 제주시 한림읍 협재리,제주특별자치도 제주시 한림읍 협재리,33.40883871,126.2278571,5,38288,6,77,116
산세미오름 (삼산이오름),제주특별자치도 제주시 애월읍 고성리 126,제주특별자치도 제주시 애월읍 고성남길 29-11,33.4108019,126.433164,0,1454,0,0,0
한라산영실코스,제주특별자치도 서귀포시 하원동 산 1-1,제주특별자치도 서귀포시 영실로 246,33.3402,126.47921,5,83741,28,125,374
강창학 종합경기장,제주특별자치도 서귀포시 중산간서로 95,제주특별자치도 서귀포시 중산간서로 95,33.26065,126.49956,0,1749,0,0,0
민오름(조천읍),제주특별자치도 제주시 조천읍 선흘리 산 141,제주특별자치도 제주시 조천읍 선흘리 산 141,33.4748404,126.4950266,4,3527,0,2,3
그랑블루호(선상낚시),제주특별자치도 서귀포시 남원읍 위미리 1881-2,제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,33.2746809,126.6626636,0,4826,0,0,15
비자림,제주특별자치도 제주시 구좌읍 평대리 3161-1,제주특별자치도 제주시 구좌읍 비자숲길 55,33.491318,126.811386,5,457642,65,214,1597
삼각봉,제주특별자치도 제주시 해안동 산 220-13,제주특별자치도 제주시 1100로 2070-61,33.3616666,126.5291666,5,3581,1,1,4
김만덕객주,제주특별자치도 제주시 건입동 984-41,제주특별자치도 제주시 임항로 68,33.5164883,126.5322757,5,11278,3,3,57
마원,제주특별자치도 제주시 조천읍 선흘리 2107-2,제주특별자치도 제주시 조천읍 선흘남4길 264-17,33.4593556,126.7033584,4,6921,0,2,22
법정악(법정이),제주특별자치도 서귀포시 영실로 246 영실매표소,제주특별자치도 서귀포시 영실로 246 영실매표소,33.31383,126.46973,5,1546,0,1,3
고내리포구,제주특별자치도 제주시 애월읍 고내리,제주특별자치도 제주시 애월읍 고내리,33.46709,126.33758,5,3142,0,7,7
빌레못동굴,제주특별자치도 제주시 애월읍 어음리 1391,제주특별자치도 제주시 애월읍 어음리 1391,33.408165,126.35178,5,14152,5,4,5
대장금촬영지(제주민속촌),제주특별자치도 서귀포시 표선면 표선리 40-1,제주특별자치도 서귀포시 표선면 민속해안로 631-34,33.322346,126.841484,5,13861,4,6,52
제주유람선,제주특별자치도 제주시 도두일동 2614-5,제주특별자치도 제주시 도공로 2,33.5061061,126.4650426,5,6164,0,1,22
묵리해안쉼터,제주특별자치도 제주시 추자면 묵리 731-4,제주특별자치도 제주시 추자면 추자로 376-6,33.9449269,126.312162,0,1947,0,0,9
삼형제오름,제주특별자치도 제주시 애월읍 광령리 4-1,제주특별자치도 제주시 애월읍 평화로 2901-1,33.35831755,126.4522552,0,1226,0,0,2
별도포구,제주특별자치도 제주시 화북1동 4269-12,제주특별자치도 제주시 화북1동 4269-12,33.52501,126.564995,0,1498,1,0,0
사계해안도로,제주특별자치도 서귀포시 안덕면 사계리,제주특별자치도 서귀포시 안덕면 사계리,33.21973,126.29425,4,6939,3,13,88
참굴비조형물,제주특별자치도 제주시 추자면 묵리 산 131-1,,33.952576,126.30432,0,2117,1,0,2
테디베어사파리 테지움,제주특별자치도 제주시 애월읍 소길리 155-106,제주특별자치도 제주시 애월읍 평화로 2159,33.4194584,126.383518,5,21616,11,7,119
"판포오름 (널개오름, 板浦岳)",제주특별자치도 제주시 한경면 판포리 934,제주특별자치도 제주시 한경면 판포리 934,33.357872,126.2126,5,2772,0,1,3
"고내봉(고내오름,고니오름,망오름)",제주특별자치도 제주시 애월읍 고내리 산 3-1,제주특별자치도 제주시 애월읍 고내리 산 3-1,33.460022,126.34064,5,3628,0,1,4
예초리포구,제주특별자치도 제주시 추자면 예초리 200-1,제주특별자치도 제주시 추자면 추자로 753,33.9557594,126.3324318,0,1795,1,0,2
추자도 숭어체험장,제주특별자치도 제주시 추자면 신양리 874-11,제주특별자치도 제주시 추자면 석두리길 4,33.93998,126.32354,5,3597,1,1,6
통오름,제주특별자치도 서귀포시 성산읍 신산리 1754-1,제주특별자치도 서귀포시 성산읍 신산리 1754-1,33.395042,126.85444,5,2884,2,1,2
송죽사터,제주특별자치도 서귀포시 대정읍 안성리,제주특별자치도 서귀포시 대정읍 안성리,33.250626,126.27805,0,1749,0,0,0
홍가시나무길(탐라대),제주특별자치도 서귀포시 하원동 산 70,제주특별자치도 서귀포시 1100로 506,33.276367,126.44766,5,4029,0,10,23
해피맘하우스,제주특별자치도 제주시 애월읍 고내리 448-2,제주특별자치도 제주시 애월읍 애월해안로 306-3,33.4488627,126.3042586,0,5667,1,0,5
족은바리메,제주특별자치도 제주시 애월읍 상가리 산 124,제주특별자치도 제주시 애월읍 상가리 산 124,33.44355792,126.3533489,0,2288,0,0,0
제주에코승마장(구.제주승마장),제주특별자치도 제주시 조천읍 교래리 39-3,제주특별자치도 제주시 조천읍 교래리 39-3번지 (비자림로 1065),33.4276176,126.6665803,0,8002,0,0,22
"대왕산 (왕뫼, 왕메, 왕미)",제주특별자치도 서귀포시 성산읍 수산리 1429,제주특별자치도 서귀포시 성산읍 수산리 1429,33.457447,126.87257,0,2164,0,0,0
까끄래기오름,제주시 조천읍 교래리 128,제주시 조천읍 교래리 128,33.4276176,126.6665803,0,1777,0,0,8
본태박물관,제주특별자치도 서귀포시 안덕면 상천리 380,제주특별자치도 서귀포시 안덕면 산록남로762번길 69,33.303474,126.39206,4,33743,3,31,211
그랑블루호 선상낚시,제주특별자치도 서귀포시 남원읍 위미리 1881-2,제주특별자치도 서귀포시 남원읍 위미중앙로180번길 10,33.274693,126.662605,0,2909,0,0,15
소남머리,제주특별자치도 서귀포시 서귀동 70,제주특별자치도 서귀포시 칠십리로 145,33.2442936,126.5691064,0,3455,0,0,4
송당본향당,제주특별자치도 제주시 구좌읍 송당리,제주특별자치도 제주시 구좌읍 송당리,33.45618,126.76734,5,7418,2,4,2
논짓물,제주특별자치도 서귀포시 하예동,제주특별자치도 서귀포시 하예동,33.237144,126.3893,5,10241,3,11,39
제주불빛정원 테마파크,제주특별자치도 제주시 애월읍 유수암리 1083,제주특별자치도 제주시 애월읍 평화로 2346,33.4222395,126.4092532,0,25126,6,0,216
송악산 진지동굴,제주특별자치도 서귀포시 대정읍 상모리,제주특별자치도 서귀포시 대정읍 상모리,33.19995931,126.2932269,5,11015,0,3,46
김녕요트투어,제주특별자치도 제주시 구좌읍 김녕리 4212-1,제주특별자치도 제주시 구좌읍 구좌해안로 229-16,33.5582139,126.7373381,5,21180,3,4,116
영주산,제주특별자치도 서귀포시 표선면 번영로,제주특별자치도 서귀포시 표선면 번영로,33.405403,126.79736,5,10795,2,7,20
공천포구,제주특별자치도 서귀포시 남원읍 신례리,제주특별자치도 서귀포시 남원읍 신례리,33.26312,126.64165,5,1943,0,3,10
모슬봉 (모슬개오름),제주특별자치도 서귀포시 대정읍 상모리 3540-2,제주특별자치도 서귀포시 대정읍 상모로191번길,33.23837459,126.2580031,5,2930,0,1,3
중문승마공원,제주특별자치도 서귀포시 대포동 2270,제주특별자치도 서귀포시 이어도로 244,33.24225,126.44533,0,3829,0,0,16
샛개오리,제주특별자치도 제주시 516로 (용강동),제주특별자치도 제주시 516로 (용강동),33.42579,126.614136,0,1131,1,0,0
불탑사 (5층석탑),제주특별자치도 제주시 삼양일동 697,제주특별자치도 제주시 원당로16길 41,33.5291414,126.5979893,0,3356,1,0,5
보목포구,제주특별자치도 서귀포시 보목동 566-3,제주특별자치도 서귀포시 보목포로 46,33.239265,126.606895,5,2858,0,3,6
샘이오름,제주특별자치도 제주시 조천읍 516로,제주특별자치도 제주시 조천읍 516로,33.473995,126.66965,0,1727,0,0,1
형제해안도로,제주특별자치도 서귀포시 대정읍 상모리 1649-1,제주특별자치도 서귀포시 대정읍 상모리 1649-1,33.20110262,126.2655368,5,6321,4,4,38
번개과학체험관(폐업),제주특별자치도 서귀포시 토평동 1799,제주특별자치도 서귀포시 토평공단로 78-27,33.28972,126.58886,5,16739,6,5,72
나틸다,제주특별자치도 제주시 아라일동 6093-2,제주특별자치도 제주시 아란5길 31-6,33.4752059,126.5427649,0,946,0,0,3
제주난타,제주특별자치도 제주시 오등동 10-1,제주특별자치도 제주시 선돌목동길 56-26,33.445293,126.54792,5,9043,1,1,41
용연카누클럽,제주특별자치도 제주시 용담2동 438,제주특별자치도 제주시 용담2동 438,33.5156,126.5140267,0,7136,1,0,48
케이제주씨워킹,제주특별자치도 서귀포시 대정읍 하모리 646-20,제주특별자치도 서귀포시 대정읍 최남단해안로 120,33.2100551,126.2585746,5,27511,1,1,62
제주잠수함(리더스클럽),제주특별자치도 제주시 조천읍 신흥리 1-11,제주특별자치도 제주시 조천읍 신흥리 1-11,33.55131,126.65275,0,6716,3,0,34
모구리오름,제주특별자치도 서귀포시 성산읍 난산리 2971,제주특별자치도 서귀포시 성산읍 서성일로 260,33.4059591,126.821694,5,4271,1,2,2
범섬,제주특별자치도 서귀포시 법환동,제주특별자치도 서귀포시 법환동,33.218575,126.517075,5,17001,4,16,24
남문지못,제주특별자치도 서귀포시 대정읍 인성리 392,제주특별자치도 서귀포시 대정읍 인성리 392,33.24656,126.276405,0,3373,1,0,10
정의향교,제주특별자치도 서귀포시 표선면 성읍리 820-1,제주특별자치도 서귀포시 표선면 성읍서문로 14,33.4112985,126.7819256,0,1894,0,0,2
천주교 순례길 - 김대건길,제주특별자치도 제주시 한경면 고산리 2858-2,제주특별자치도 제주시 한경면 고산로 6-3,33.301857,126.1801,0,3514,1,0,12
북촌환해장성,제주특별자치도 제주시 조천읍 북촌리,제주특별자치도 제주시 조천읍 북촌리,33.536594,126.69666,0,1809,0,0,7
제라진 제주오프로드 사파리,제주특별자치도 제주시 조천읍 선흘리 624-4,제주특별자치도 제주시 조천읍 선교로 33,33.4777041,126.7135515,0,6071,0,0,16
제주국제예술센터,제주특별자치도 서귀포시 대정읍 무릉리 3296,제주특별자치도 서귀포시 대정읍 서삼중로 117,33.27183,126.19944,0,3053,1,0,0
아프리카박물관,제주특별자치도 서귀포시 대포동 1833,제주특별자치도 서귀포시 이어도로 49,33.23984,126.429146,5,15289,2,2,52
솔담현경철한의원,제주특별자치도 제주시 노형동 241-1,제주특별자치도 제주시 1100로 3055,33.4802375,126.4865364,0,873,0,0,0
박수기정,제주특별자치도 서귀포시 안덕면 감산리 1010,제주특별자치도 서귀포시 안덕면 난드르로 90-25,33.2371317,126.358753,5,21316,1,20,94
입산봉(삿갓오름),제주특별자치도 제주시 구좌읍 김녕리 1033-19,제주특별자치도 제주시 구좌읍 김녕리 1033-19,33.54863,126.756676,0,2354,1,0,1
캔디원,제주특별자치도 제주시 조천읍 선흘리 1776,제주특별자치도 제주시 조천읍 선교로 384,33.4708686,126.7078957,0,4311,0,0,18
핸즈웍스,제주특별자치도 제주시 한림읍 귀덕리 756,제주특별자치도 제주시 한림읍 귀덕로 78,33.4376238,126.2970018,0,3657,0,0,15
귀덕연대,제주특별자치도 제주시 한림읍 귀덕리 1118,제주특별자치도 제주시 한림읍 귀덕14길 14-5,33.4421307,126.2934016,3,2646,0,1,5
유민미술관,제주특별자치도 서귀포시 성산읍 고성리 21,제주특별자치도 서귀포시 성산읍 고성리 21,33.429596,126.9321,0,14514,4,0,43
모라이,제주특별자치도 서귀포시 산록남로 (색달동),제주특별자치도 서귀포시 산록남로 (색달동),33.30114,126.4141,0,2168,1,0,0
천주교 순례길 - 김기량길,제주특별자치도 제주시 조천읍 조천리 3192-1,제주특별자치도 제주시 조천읍 조천2길 19,33.532906,126.63163,0,2337,0,0,4
제주레이크힐스컨트리클럽,제주특별자치도 서귀포시 중문동 산 5,제주특별자치도 서귀포시 산록남로 1391 (중문동),33.306812,126.43271,0,2300,0,0,1
최영장군사당,제주특별자치도 제주시 추자면 대서리 368-1,제주특별자치도 제주시 추자면 대서3길 10,33.964085,126.295525,0,7627,0,0,3
어리목계곡,제주특별자치도 제주시 해안동 산 220-13,제주특별자치도 제주시 1100로 2070-61,33.3967883,126.4878526,5,8612,1,3,52
별방진,제주특별자치도 제주시 구좌읍 하도리 3354,제주특별자치도 제주시 구좌읍 하도리 3354,33.52612,126.88438,4,8326,1,5,24
"병곳오름 (벵곳오름, 안좌오름)",제주특별자치도 서귀포시 표선면 가시리 산 8,제주특별자치도 서귀포시 표선면 가시리 산 8,33.368008,126.74857,5,1438,1,2,1
물영아리오름,제주특별자치도 서귀포시 남원읍 수망리 189,제주특별자치도 서귀포시 남원읍 태수로 552,33.3686617,126.6932064,5,27166,1,13,93
다빈치뮤지엄,제주특별자치도 서귀포시 안덕면 상천리 837,제주특별자치도 서귀포시 안덕면 산록남로 788,33.319107,126.38509,5,2261,1,1,16
"저지오름(닥몰오름,새오름)",제주특별자치도 제주시 한경면 저지리 산 51,제주특별자치도 제주시 한경면 저지리 산 51,33.333008,126.25095,5,12566,1,5,17
김녕 지질트레일,제주특별자치도 제주시 구좌읍 김녕리 497-1,제주특별자치도 제주시 구좌읍 김녕로 209,33.5562,126.76165,4,19757,5,25,116
테디베어뮤지엄제주,제주특별자치도 서귀포시 색달동 2889,제주특별자치도 서귀포시 중문관광로110번길 31,33.25021,126.41223,5,24556,7,18,267
물찻오름,제주특별자치도 제주시 조천읍 교래길,제주특별자치도 제주시 조천읍 교래길,33.3983865,126.6796266,5,8664,0,10,25
사라봉,제주특별자치도 제주시 건입동 388,제주특별자치도 제주시 사라봉동길 61,33.51839778,126.5439168,4,17070,0,7,18
노을해안로,제주특별자치도 서귀포시 대정읍 일과리 1424-1,제주특별자치도 서귀포시 대정읍 노을해안로 24,33.24254,126.22441,5,3193,1,2,20
당오름(안덕면),제주특별자치도 서귀포시 안덕면 동광리 산 68-1,제주특별자치도 서귀포시 안덕면 동광리 산 68-1,33.332428,126.3365,0,2759,0,0,1
표선세화해안도로,제주특별자치도 서귀포시 표선면 표선리,제주특별자치도 서귀포시 표선면 표선리,33.524757,126.8606,5,9752,1,13,139
서귀포예술의전당,제주특별자치도 서귀포시 서홍동 615,제주특별자치도 서귀포시 태평로 270,33.24523,126.55175,5,17515,0,1,2
매오름,제주특별자치도 서귀포시 표선면 표선리 산 2,제주특별자치도 서귀포시 표선면 표선리 산 2,33.31865,126.81405,0,3582,1,0,1
제주힐CC,제주특별자치도 제주시 용강동 산 5,제주특별자치도 제주시 516로 2596-117,33.4399611,126.6020248,0,2645,0,0,0
"들레오름 (月坪峰, 月來岳, 月下岳)",제주특별자치도 제주시 월평동 657,제주특별자치도 제주시 첨단동길 89-29,33.4593529,126.5797073,0,1058,0,0,0
제주롯데스카이힐컨트리클럽,제주특별자치도 서귀포시 색달동 100,제주특별자치도 서귀포시 상예로 530,33.28456778,126.404932,5,4401,0,1,0
메이즈랜드,제주특별자치도 제주시 구좌읍 평대리 3322,제주특별자치도 제주시 구좌읍 비자림로 2134-47,33.48875,126.80093,5,80386,15,54,713
큰바리메오름,제주특별자치도 제주시 애월읍 어음리 산 3,제주특별자치도 제주시 애월읍 산록서로 15,33.3659432,126.35644,5,3465,0,1,5
생각하는정원,제주특별자치도 제주시 한경면 저지리 1534,제주특별자치도 제주시 한경면 녹차분재로 675,33.3257082,126.2552516,5,50460,16,21,282
우도올레보트,제주특별자치도 제주시 우도면 연평리 2562-1,제주특별자치도 제주시 우도면 연평리 2562-1,33.501495,126.94424,5,4737,0,1,14
카멜리아힐,제주특별자치도 서귀포시 안덕면 상창리 271,제주 서귀포시 안덕면 병악로 166,33.289135,126.37011,5,192262,140,473,2489
문도지오름 (문돗지),제주특별자치도 제주시 한림읍 금악리 3444,제주특별자치도 제주시 한림읍 금악리 3444,33.33229622,126.2520476,0,4909,0,0,14
새끼오름 (샛기오름),제주특별자치도 서귀포시 표선면 번영로,제주특별자치도 서귀포시 표선면 번영로,33.37268,126.79713,0,1207,1,0,0
재밋섬파크,제주특별자치도 제주시 삼도2동 108-13,제주특별자치도 제주시 중앙로14길 18,33.5116,126.52267,3,6309,2,1,11
함덕카페거리,제주특별자치도 제주시 조천읍 함덕리,제주특별자치도 제주시 조천읍 함덕리,33.54264,126.66915,0,8967,9,0,80
포니밸리,제주특별자치도 서귀포시 표선면 성읍리 2684,제주특별자치도 서귀포시 표선면 번영로 2564-21,33.40256,126.77849,5,5926,0,3,27
노루생태관찰원,제주특별자치도 제주시 봉개동 산 51-2,제주특별자치도 제주시 명림로 520,33.4087482,126.635052,5,20961,1,10,104
가마오름,제주특별자치도 제주시 한경면 청수리 1166,제주특별자치도 제주시 한경면 청수서5길 63,33.3056558,126.249338,0,4687,0,0,16
표선해수욕장,제주특별자치도 서귀포시 표선면 표선리,제주특별자치도 서귀포시 표선면 표선리,33.32723069,126.8381014,5,20737,1,54,88
이중섭거리,제주특별자치도 서귀포시 서귀동 370-21,제주특별자치도 서귀포시 이중섭로 4-1 (서귀동),33.2476269,126.5641044,5,54629,25,42,564
꽃썸,제주특별자치도 서귀포시 안덕면 동광리 950-3,서귀포시 안덕면 동광로 151,33.309093,126.339615,4,7632,0,3,42
방림원,제주특별자치도 제주시 한경면 용금로 864,제주특별자치도 제주시 한경면 용금로 864,33.336983,126.26866,4,12001,1,2,25
한울랜드,제주특별자치도 제주시 구좌읍 덕천리 766,제주특별자치도 제주시 구좌읍 동백로 458,33.518837,126.73904,5,8965,0,1,12
소병악 (족은오름),제주특별자치도 서귀포시 안덕면 상창리 산 2-1,제주특별자치도 서귀포시 안덕면 상창리 산 2-1,33.309055,126.37453,0,1944,0,0,0
숫모르편백나무숲길,제주특별자치도 제주시 용강동 산 14-1,제주특별자치도 제주시 516로 2596,33.430923,126.595764,5,8339,2,2,47
소정방폭포,제주특별자치도 서귀포시 동홍동 234-8,제주특별자치도 서귀포시 칠십리로214번길 17-17,33.2450745,126.5774938,4,10384,1,9,101
협재포구,제주특별자치도 제주시 한림읍 협재리,제주특별자치도 제주시 한림읍 협재리,33.39929,126.24321,5,3021,0,3,12
황우지해안 열두굴,제주특별자치도 서귀포시 서홍동 764-1,제주특별자치도 서귀포시 서홍동 764-1,33.23915,126.54786,5,8168,2,3,57
족은사슴이오름,제주특별자치도 서귀포시 표선면 가시리 산 87-24,제주특별자치도 서귀포시 표선면 녹산로 536,33.3988071,126.7063341,0,1793,1,0,1
검멀레해변,제주특별자치도 제주시 우도면 우도해안길,제주특별자치도 제주시 우도면 우도해안길,33.49698481,126.9686027,5,27534,16,66,314
산방산탄산온천,제주특별자치도 서귀포시 안덕면 사계북로 41번길 192,제주특별자치도 서귀포시 안덕면 사계북로 41번길 192,33.248665,126.29896,5,69102,22,9,660
여미지식물원,제주특별자치도 서귀포시 색달동 2484-1,제주특별자치도 서귀포시 중문관광로 93,33.252617,126.41435,5,32949,5,39,359
태흥포구,제주특별자치도 서귀포시 남원읍 태흥리,제주특별자치도 서귀포시 남원읍 태흥리,33.2868,126.75014,5,1555,0,2,5
다려도,제주특별자치도 제주시 조천읍 북촌리,제주특별자치도 제주시 조천읍 북촌리,33.555916,126.69623,0,3390,0,0,4
그랑블루 요트투어,제주특별자치도 서귀포시 대포동 2367-1,제주특별자치도 서귀포시 대포로 174,33.238754,126.439644,5,8747,2,7,53
금룡사,제주특별자치도 제주시 구좌읍 김녕리 1145-49,제주특별자치도 제주시 구좌읍 김녕로 148-11,33.5398407,126.746583,0,2402,1,0,2
전농로 서사라문화거리,제주특별자치도 제주시 삼도2동 1230-4,제주특별자치도 제주시 서사로7길 27,33.506634,126.522415,5,15545,0,8,84
왕이메오름,제주특별자치도 서귀포시 안덕면 광평리 산 79,제주특별자치도 서귀포시 안덕면 광평리 산 79,33.340233,126.37479,4,4403,0,1,2
바늘오름,제주특별자치도 제주시 조천읍 교래리 산 108,제주특별자치도 제주시 조천읍 교래리 산 108,33.42869209,126.6682969,5,3322,0,1,4
볼레낭길,제주특별자치도 서귀포시 안덕면 감산리 1049,제주특별자치도 서귀포시 안덕면 감산리 1049,33.235916,126.34946,5,2514,0,1,9
중문색달해수욕장,제주특별자치도 서귀포시 색달동 3039,제주특별자치도 서귀포시 중문관광로72번길 29-51,33.24499,126.41159,5,57748,3,81,208
우도잠수함(제주씨월드),제주특별자치도 서귀포시 성산읍 성산리 347-9,제주특별자치도 서귀포시 성산읍 성산등용로 130-21,33.47211,126.9332,5,32139,6,11,275
풋감마을 소길리 농어촌체험마을,애월읍 소길리 650-1,제주시 애월읍 소길1길 15,33.440056,126.380005,0,1826,0,0,2
아침미소목장,제주특별자치도 제주시 월평동 155,제주특별자치도 제주시 첨단동길 160-20,33.45444,126.58662,5,64708,36,45,727
부영컨트리클럽,제주특별자치도 서귀포시 남원읍 남조로 960 부영CC,제주특별자치도 서귀포시 남원읍 남조로 960 부영CC,33.358353,126.71365,0,3170,1,0,0
