R_Spot_Name,R_Spot_Old_Addr,R_Spot_Addr,R_Spot_Latitude,R_Spot_Longtitude,R_Spot_Score,R_Spot_Views,R_Spot_Preference,R_Spot_Reviews,R_Spot_Bookmarks
열리해안길,제주특별자치도 서귀포시 하예동,제주특별자치도 서귀포시 하예동,33.240032,126.38032,0,3849,0,0,19
동산농원 딸기체험장,제주특별자치도 제주시 한경면 저지리 1448-2,제주특별자치도 제주시 한경면 저지리 1448-2,33.333553,126.24605,5,5056,0,2,20
승마마을 청수리 농어촌체험마을,제주특별자치도 제주시 한경면 청수리 1571,제주특별자치도 제주시 한경면 대한로 1036,33.3178122,126.2476775,5,1451,0,2,8
가파도,제주특별자치도 서귀포시 대정읍 가파리,제주특별자치도 서귀포시 대정읍 가파리,33.170017,126.271515,5,39176,11,84,165
조수리 농어촌체험마을,제주특별자치도 제주시 한경면 조수리,제주특별자치도 제주시 한경면 조수리,33.337276,126.22851,0,1178,0,0,0
추사적거지,제주특별자치도 서귀포시 대정읍 안성리 1661-1,제주특별자치도 서귀포시 대정읍 추사로 44,33.25022,126.27838,5,8039,1,2,31
제주대학교 가는길,제주특별자치도 제주시 아라1동 1,제주특별자치도 제주시 제주대학로 102,33.455303,126.561615,5,6327,1,19,45
산지항 옛터,제주특별자치도 제주시 건입동 940-3 일대,제주특별자치도 제주시 연무정길 28 (건입동)일대,33.516888,126.53469,0,933,0,0,0
자리왓,제주특별자치도 제주시 애월읍 봉성리 1410 일대,제주특별자치도 제주시 애월읍 봉성리 1410 일대,33.40464,126.32806,0,2813,1,0,3
산지천,제주특별자치도 제주시 건입동,제주특별자치도 제주시 건입동,33.51317119,126.5272515,5,10180,1,4,36
구엄리돌염전,제주특별자치도 제주시 애월읍 구엄리 609-1,제주특별자치도 제주시 애월읍 애월해안로 708,33.482887,126.37733,5,17209,0,10,124
마라도관광쉼터,제주특별자치도 서귀포시 대정읍 가파리 583-9,제주특별자치도 서귀포시 대정읍 마라로 139,33.114143,126.268616,4,1916,1,2,6
우도천진항,제주특별자치도 제주시 우도면 연평리 1737-15,,33.49203,126.95049,4,1662,0,3,5
제주올레 3코스,제주특별자치도 서귀포시 표선면 하천리 87-1,제주특별자치도 서귀포시 표선면 하천리 87-1,33.33356,126.84455,5,5830,2,3,17
제주도립김창열미술관,제주특별자치도 제주시 한경면 저지리 2120-82,제주특별자치도 제주시 한경면 용금로 883-5,33.3389037,126.2682351,4,12732,1,8,27
성김대건신부표착기념관,제주특별자치도 제주시 한경면 용수리 4266,제주특별자치도 제주시 한경면 용수1길 108,33.322792,126.16779,3,4113,1,1,7
다랑쉬굴,제주특별자치도 제주시 구좌읍 세화리 2608-6,제주특별자치도 제주시 구좌읍 세화리 2608-6,33.469715,126.83181,5,3362,2,3,6
월라봉(효돈),제주특별자치도 서귀포시 신효동,제주특별자치도 서귀포시 월라봉로,33.2680232,126.6027262,0,1940,0,0,2
피규어뮤지엄 제주,제주특별자치도 서귀포시 안덕면 상창리 1875-8,제주특별자치도 서귀포시 안덕면 한창로 243,33.2819208,126.3555472,5,15245,5,1,157
포레스트 판타지아,서귀포시 안덕면 일주서로 1836,서귀포시 안덕면 일주서로 1836,33.256805,126.32163,5,21396,7,3,137
제주올레 5코스,제주특별자치도 서귀포시 남원읍 남원리 91-6,제주특별자치도 서귀포시 남원읍 남태해안로 140,33.273167,126.70446,4,9387,0,9,31
서광리 곶자왈생태탐방로,제주특별자치도 서귀포시 안덕면 서광리,제주특별자치도 서귀포시 안덕면 서광리,33.299107,126.31089,5,3933,0,1,17
