Nature_ID,Nature_Type,Nature_Name,Nature_Addr,Nature_Longtitude,Nature_Latitude
68,오름,웃방애오름,제주특별자치도 서귀포시 동홍동 산 1-1,126.5309421,33.34031607
69,오름,윗세오름,제주특별자치도 서귀포시 영남동 산 1-1,126.5132943,33.34458072
70,오름,알방애오름,제주특별자치도 서귀포시 동홍동 산 1-1,126.5309421,33.34031607
71,오름,망체오름,제주특별자치도 제주시 애월읍 광령리 산 183-6,126.5025774,33.37128494
72,오름,이스렁오름,제주특별자치도 제주시 애월읍 광령리 산 183,126.4778049,33.37085428
73,오름,불래오름,제주특별자치도 서귀포시 하원동 산 1-1,126.4762256,33.33313569
74,오름,삼형제큰오름,제주특별자치도 서귀포시 색달동 산 1-3,126.4427123,33.34567246
75,오름,살핀오름,제주특별자치도 제주시 애월읍 광령리 산 183-2,126.4601814,33.37837613
76,오름,삼형제샛오름,제주특별자치도 서귀포시 색달동 산 1-3,126.4427123,33.34567246
77,오름,삼형제족은오름,제주특별자치도 서귀포시 색달동 산 1-3,126.4427123,33.34567246
78,오름,다래오름,제주특별자치도 서귀포시 하원동 산 1-1,126.4762256,33.33313569
79,오름,들리오름,제주특별자치도 제주시 오등동 산 154-5,126.5410999,33.42915332
80,오름,불칸디오름,제주특별자치도 제주시 월평동 산 6,126.5901446,33.40969657
81,오름,넙거리오름,제주특별자치도 제주시 조천읍 교래리 산 137-1,126.6425684,33.40769185
82,오름,괴평이오름,제주특별자치도 서귀포시 남원읍 수망리 산 137-1,126.7013727,33.34183708
83,오름,돌오름,제주특별자치도 제주시 월평동 산 6,126.5901446,33.40969657
84,오름,물오름,제주특별자치도 서귀포시 남원읍 한남리 산 2-12,126.6276955,33.37008819
85,오름,성진이오름,제주특별자치도 제주시 봉개동 산 78-2,126.6055614,33.40992578
86,오름,궤물오름,제주특별자치도 제주시 애월읍 유수암리 산 41,126.414419,33.4267604
87,오름,느지리오름,제주특별자치도 제주시 한림읍 상명리 산 5,126.2612115,33.36556758
88,오름,발이오름,제주특별자치도 제주시 애월읍 어음리 산 21,126.3871733,33.37766591
89,오름,입산봉(삿갓오름),제주특별자치도 제주시 구좌읍 김녕리 1037-2,126.7567859,33.54854505
90,오름,쇄개오름,제주특별자치도 서귀포시 남원읍 수망리 127,126.7230136,33.33088085
91,오름,오름동,제주특별자치도 제주시 애월읍 고내리 742-1,126.3405818,33.4525612
92,오름,안친오름,제주특별자치도 제주시 구좌읍 송당리 808,126.785656,33.47847569
93,오름,소머리오름,제주특별자치도 제주시 우도면 연평리 산 19-1,126.9651982,33.49207115
94,오름,섯알오름,제주특별자치도 서귀포시 대정읍 상모리 1542,126.2782391,33.20912856
95,오름,감낭오름,제주특별자치도 서귀포시 안덕면 동광리 산 98,126.3558113,33.32600566
96,오름,신산오름,제주특별자치도 서귀포시 안덕면 상창리 1468,126.3598495,33.26731067
97,오름,원물오름,제주특별자치도 서귀포시 안덕면 동광리 산 42,126.3431474,33.32535847
98,오름,용와이오름,제주특별자치도 서귀포시 안덕면 상천리 산 90,126.3970515,33.33083587
99,오름,갓그리오름,제주특별자치도 서귀포시 중문동 산 2,126.4420106,33.31439062
100,오름,민모루오름,제주특별자치도 서귀포시 중문동 산 1-3,126.4491415,33.33051207
101,오름,생길이오름,제주특별자치도 서귀포시 남원읍 신례리 2055-1,126.6399395,33.30946384
102,오름,매오름,제주특별자치도 서귀포시 표선면 표선리 산 1,126.8124115,33.31990734
103,오름,천아오름,제주특별자치도 제주시 한림읍 상대리 1620,126.2986575,33.40891654
104,오름,도래오름,제주특별자치도 제주시 애월읍 봉성리 산 59-8,126.3570956,33.36731997
105,오름,이돋이오름,제주특별자치도 서귀포시 안덕면 광평리 산 12,126.4023497,33.33886103
106,오름,안천이오름,제주특별자치도 제주시 애월읍 상가리 산 124,126.4129773,33.37226338
107,오름,빈네오름,제주특별자치도 제주시 애월읍 봉성리 52-16,126.394334,33.34921027
108,오름,물오름,제주특별자치도 제주시 조천읍 교래리 산 137-31,126.6225944,33.40199702
109,오름,입석오름,제주특별자치도 서귀포시 남원읍 하례리 산 1-7,126.5706743,33.35933072
110,오름,이승이오름,제주특별자치도 서귀포시 남원읍 신례리 산 2-4,126.6227946,33.33986168
